"locality_id","latitude","longitude"
"L4420067",10.4550833,76.9785833
"L4423054",10.378921,76.4192247
"L4431253",9.5658,77.1927
"L4431246",9.562484,77.150272
"L4420059",10.4506944,76.9764444
"L4420057",10.4505,76.9776667
"L4420054",10.4505278,76.9812778
"L5528641",10.4491558,76.981405
"L4420046",10.4489722,76.9831111
"L4420043",10.4482778,76.98325
"L4419990",10.413791,76.9956368
"L4419988",10.4100833,76.9967222
"L4420040",10.4464722,76.9850833
"L4420038",10.4384444,76.9858889
"L4420033",10.4368056,76.9869722
"L4420030",10.4336111,76.9891944
"L4420025",10.4328056,76.9874167
"L4420021",10.4314722,76.9850278
"L4420013",10.4253333,76.9892222
"L4419971",10.3936667,76.9936111
"L4419977",10.3993669,76.9913507
"L4419986",10.4058056,76.9950278
"L3227112",10.5199232,76.6288018
"L4409535",10.45211,76.3579631
"L4409503",10.4326115,76.3778543
"L3352756",15.1671013,74.6277344
"L3171966",11.6711917,76.3718247
"L4233267",11.837071,75.8563276
"L4402365",10.3638437,76.9777154
"L3287308",11.86433,75.83539
"L3311373",11.8545278,76.1168056
"L2943238",10.3537609,77.6805496
"L3358498",10.2995132,77.7113199
"L4479603",15.1009107,74.1532946
"L2607093",10.8447707,76.827178
"L4025400",10.129765,76.6870165
"L4480072",11.5530281,76.9909423
"L4482364",11.5755024,76.9194835
"L4373757",10.308583,76.87155
"L4388935",10.297453,77.018261
"L4388945",10.2918,77.013023
"L4388924",10.290205,77.007628
"L4388921",10.288075,76.99981
"L4388915",10.288784,76.992572
"L4388899",10.283866,76.974655
"L4388894",10.289704,76.969657
"L4388880",10.298123,76.968152
"L4388874",10.304293,76.963965
"L4388865",10.309412,76.959523
"L4388821",10.315713,76.956426
"L4388814",10.321746,76.952508
"L4388813",10.326665,76.955076
"L4388811",10.332882,76.960202
"L4388809",10.33847,76.964659
"L4388806",10.342136,76.969465
"L4388803",10.346297,76.972848
"L4388801",10.353456,76.972166
"L4389033",10.301016,76.875716
"L4389037",10.30115,76.879983
"L4389038",10.306083,76.885816
"L4389039",10.312716,76.887716
"L4389040",10.3165,76.89475
"L4389043",10.323483,76.8975
"L4389045",10.331,76.89496
"L4389048",10.339216,76.89666
"L4389049",10.34006,76.90378
"L4389052",10.340216,76.90856
"L4389053",10.34178,76.91258
"L4497478",10.316153,76.986406
"L4497471",10.315686,76.98853
"L4497476",10.315477,76.991993
"L4497465",10.31249,76.999591
"L4497464",10.3127254,77.002687
"L4497460",10.32182,77.002114
"L4497459",10.331683,77.019294
"L4497457",10.334705,77.016296
"L4497454",10.332578,77.010171
"L4497453",10.3262366,77.0056051
"L4497451",10.326402,77.005559
"L4497447",10.3299154,76.9989896
"L4497397",10.333698,76.99504
"L4497394",10.339756,76.99364
"L4497391",10.344936,76.994512
"L4497390",10.352103,76.998372
"L4497383",10.367214,76.99436
"L4497385",10.360392,76.997588
"L4389055",10.34278,76.91871
"L5528549",10.35201,76.92435
"L4389060",10.355713,76.929892
"L4389062",10.35597,76.935631
"L4389064",10.348894,76.934568
"L4389065",10.35252,76.940998
"L4497479",10.310507,76.982629
"L4389070",10.346638,76.936178
